Líneas Nazca,Estudios
Existieron Lima Cusco Trujillo Arequipa Huamanga y poblados selva,tipos escuelas elementales elementales pagadas indios animales y escuelas elementales sostenidas contribución pecuniaria conquistadores
tipos escuelas elementales elementales pagadas indios animales y escuelas elementales sostenidas contribución pecuniaria conquistadores,debían permiso rey funcionar
debían permiso rey funcionar,Biografías José Manuel Valdés colegios seminarios crearon colegios seminarios preparaba a mestizos sacerdotes
Biografías José Manuel Valdés colegios seminarios crearon colegios seminarios preparaba a mestizos sacerdotes,colegio Seminario fundado Santo Toribio Mogrovejo
colegio Seminario fundado Santo Toribio Mogrovejo,crearon colegios seminarios San Antonio Cusco San Cristóbal Huamanga San Marcelo y San Carlos Trujillo y San Jerónimo Arequipa
crearon colegios seminarios San Antonio Cusco San Cristóbal Huamanga San Marcelo y San Carlos Trujillo y San Jerónimo Arequipa,lugares carentes universidades tuvieron particular importancia centro vida cultural dichas ciudades
lugares carentes universidades tuvieron particular importancia centro vida cultural dichas ciudades,Universidad San Marcos mayo creó real cédula Real y Pontificia Universidad Ciudad Reyes o Lima gestiones fray Tomás San Martín
Universidad San Marcos mayo creó real cédula Real y Pontificia Universidad Ciudad Reyes o Lima gestiones fray Tomás San Martín,Comenzó a funcionar Convento Santo Domingo
Comenzó a funcionar Convento Santo Domingo,rector fray Juan Bautista Rosa
rector fray Juan Bautista Rosa,recibiendo a religiosos órdenes dominicos perdiendo hegemonía
recibiendo a religiosos órdenes dominicos perdiendo hegemonía,Francisco Toledo autorizó elección doctor Pedro Fernández Valenzuela rector laico
Francisco Toledo autorizó elección doctor Pedro Fernández Valenzuela rector laico,universidad trasladó a San Marcelo tomó nombre San Marcos
universidad trasladó a San Marcelo tomó nombre San Marcos,Toledo aprobó alternancia rectorado clérigos y laicos
Toledo aprobó alternancia rectorado clérigos y laicos,San Marcos inició labores facultades Teología y Artes
San Marcos inició labores facultades Teología y Artes,Cánones Leyes y Medicina
Cánones Leyes y Medicina,graduaban salían teólogos filósofos letrados y médicos
graduaban salían teólogos filósofos letrados y médicos,base especialidades aprobación curso filosofía metafísica
base especialidades aprobación curso filosofía metafísica,principio pedagógico imperante magister dixi maestro diga repetición y acatamiento a diga y disponga maestro respectivamente
principio pedagógico imperante magister dixi maestro diga repetición y acatamiento a diga y disponga maestro respectivamente,Otorgaba grados bachiller licenciado y doctor
Otorgaba grados bachiller licenciado y doctor,Facultad Artes a grados agregaba maestro
Facultad Artes a grados agregaba maestro,Ingresaban a hijos aristocracia colonial funcionarios Corona
Ingresaban a hijos aristocracia colonial funcionarios Corona,caso José Manuel Valdés excepciones
caso José Manuel Valdés excepciones,Universidad San Marcos elitista dogmática metafísica y prejuiciosa
Universidad San Marcos elitista dogmática metafísica y prejuiciosa,Hipólito Unanue hombres importantes Perú independiente examinador José Manuel Valdés y mejores médicos Perú época
Hipólito Unanue hombres importantes Perú independiente examinador José Manuel Valdés y mejores médicos Perú época,Obras amores y razones Disertación quirúrgica chancro uterino
Obras amores y razones Disertación quirúrgica chancro uterino,Poesías sagradas
Poesías sagradas,Memoria enfermedades epidérmicas padecieron Lima año
Memoria enfermedades epidérmicas padecieron Lima año,Salterio peruano o paráfrasis salmos David
Salterio peruano o paráfrasis salmos David,Memoria disentería
Memoria disentería,Relación actual arte obstétrico
Relación actual arte obstétrico,Memoria cólera morbo
Memoria cólera morbo,Vida admirable bienaventurado fray Martín Porres
Manuela Saenz Manuela Sáenz Biografías Libertadora aristocracia aceptó hija bastarda atea y amante amorosa entrega Libertador Norte a causa Independencia amor y convicción importantísimo historia latinoamericana,casa convento fuga convento casa inglés Condecorada San Martín Compañera inseparable Bolívar pedido Thorne y respuesta Coronela y asistenta Libertador Manuela y detractores Bolivar Libertadora Libertador Manuela queda Torre Babel destierro testimonio tradicionista Biografías Manuela Sáenz casa convento Doña Manuela Sáenz nació año ciudad Quito
casa convento fuga convento casa inglés Condecorada San Martín Compañera inseparable Bolívar pedido Thorne y respuesta Coronela y asistenta Libertador Manuela y detractores Bolivar Libertadora Libertador Manuela queda Torre Babel destierro testimonio tradicionista Biografías Manuela Sáenz casa convento Doña Manuela Sáenz nació año ciudad Quito,padre don Simón Sáenz Vergara español miembro Concejo ciudad Quito capitán milicias y recaudador diezmos y madre doña Joaquina Aispuru dama sociedad quiteña
padre don Simón Sáenz Vergara español miembro Concejo ciudad Quito capitán milicias y recaudador diezmos y madre doña Joaquina Aispuru dama sociedad quiteña,Manuela Sáenz tiempos llamaba hija bastarda motivo vivir padre y heredó madre odio a familia paterna haberlas deshonrado relación legitimar
Manuela Sáenz tiempos llamaba hija bastarda motivo vivir padre y heredó madre odio a familia paterna haberlas deshonrado relación legitimar,murió madre Manuela Sáenz desamparada menor edad parientes conocidos facilidades económicas internada Convento Santa Catalina
murió madre Manuela Sáenz desamparada menor edad parientes conocidos facilidades económicas internada Convento Santa Catalina,fuga convento año Manuela Sáenz escapó convento Fausto oficial Guardia Real agravó relaciones sociedad quiteña perdonado hija bastarda y reprochaba iniciado amor clandestino
fuga convento año Manuela Sáenz escapó convento Fausto oficial Guardia Real agravó relaciones sociedad quiteña perdonado hija bastarda y reprochaba iniciado amor clandestino,expulsada convento y viajar a Panamá encontraba padre
expulsada convento y viajar a Panamá encontraba padre,casa inglés Posteriormente Manuela casó acaudalado comerciante inglés llamado James Thorne natural Aylesbury y enorme casa Lima y Magdalena quedaba afueras Lima y gente rica casas campo
casa inglés Posteriormente Manuela casó acaudalado comerciante inglés llamado James Thorne natural Aylesbury y enorme casa Lima y Magdalena quedaba afueras Lima y gente rica casas campo,Condecorada San Martín enero condecorada Orden Sol José San Martín Manuela convenció a hermano capitán Regimiento Numancia a pasarse a filas ejército patriota
Condecorada San Martín enero condecorada Orden Sol José San Martín Manuela convenció a hermano capitán Regimiento Numancia a pasarse a filas ejército patriota,Ricardo Palma recuerda ciento doce caballerescas Orden Sol figura señora Sáenz Thorne indudablemente exaltadas patriotas
Ricardo Palma recuerda ciento doce caballerescas Orden Sol figura señora Sáenz Thorne indudablemente exaltadas patriotas,meses posteriores año enterada Libertador Norte Simón Bolívar y Palacios iniciado periplo liberar a países América Sur Manuela Sáenz regresó a Quito asistir a proclamación independencia Ecuador
meses posteriores año enterada Libertador Norte Simón Bolívar y Palacios iniciado periplo liberar a países América Sur Manuela Sáenz regresó a Quito asistir a proclamación independencia Ecuador,Compañera inseparable Bolívar Quito junio conoció personalmente a Simón Bolívar baile gala celebrando libertad
Compañera inseparable Bolívar Quito junio conoció personalmente a Simón Bolívar baile gala celebrando libertad,amor surgió y Manuela libertador constituyó mujer vinculación sentimental duradera muerte esposa María Teresa Rodríguez Toro hacía años
amor surgió y Manuela libertador constituyó mujer vinculación sentimental duradera muerte esposa María Teresa Rodríguez Toro hacía años,característico estilo don Ricardo Palma describe dicha relación y época principiaron relaciones amorosas bella Manuelita única mujer poseída logró ejercer imperio sensual y voluble Bolívar
característico estilo don Ricardo Palma describe dicha relación y época principiaron relaciones amorosas bella Manuelita única mujer poseída logró ejercer imperio sensual y voluble Bolívar,damas alta sociedad motivo vituperar Sáenz siquiera afán divorciarse
damas alta sociedad motivo vituperar Sáenz siquiera afán divorciarse,Bolívar viajó Perú a liberarlo Manuela Sáenz acompañó importarle dirán reacciones esposo James encontraba Chile
